"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 18 13:26:09 GMT 2023","Sat Mar 18 13:26:10 GMT 2023","1173","","TestContent","","TestContent","CheckFirstArticleTitle","Bejegyzés címének ellenőrzése",""
"passed","Sat Mar 18 13:26:11 GMT 2023","Sat Mar 18 13:26:11 GMT 2023","558","","TestPopup","","TestPopup","TermsAndConditionsDisappearsTest","Adatkezelési tájékoztató elfogadás után eltűnik",""
"passed","Sat Mar 18 13:26:01 GMT 2023","Sat Mar 18 13:26:02 GMT 2023","1091","","TestLogin","","TestLogin","LoginTest","Belépés valós adatokkal",""
"passed","Sat Mar 18 13:25:59 GMT 2023","Sat Mar 18 13:26:00 GMT 2023","907","","TestRegistration","","TestRegistration","RegistrationFromFileTest","Regisztráció fájlból beolvasott adatokkal",""
"passed","Sat Mar 18 13:26:04 GMT 2023","Sat Mar 18 13:26:05 GMT 2023","1146","","TestContent","","TestContent","Logout","Kijelentkezés",""
"passed","Sat Mar 18 13:26:03 GMT 2023","Sat Mar 18 13:26:04 GMT 2023","1095","","TestContent","","TestContent","CheckContentNumberTest","Bejegyzések számának ellenőrzése",""
"passed","Sat Mar 18 13:26:07 GMT 2023","Sat Mar 18 13:26:08 GMT 2023","1374","","TestContent","","TestContent","ProfileEditTest","Profil módosítása",""
"passed","Sat Mar 18 13:26:02 GMT 2023","Sat Mar 18 13:26:03 GMT 2023","660","","TestLogin","","TestLogin","LoginWithoutRegistrationTest","Belépés regisztráció nélkül",""
"passed","Sat Mar 18 13:26:00 GMT 2023","Sat Mar 18 13:26:01 GMT 2023","1053","","TestLogin","","TestLogin","LoginWithoutPasswordTest","Belépés jelszó nélkül",""
"passed","Sat Mar 18 13:25:58 GMT 2023","Sat Mar 18 13:25:59 GMT 2023","1380","","TestRegistration","","TestRegistration","RegistrationTest","Regisztráció manuálisan beírt adatokkal",""
"passed","Sat Mar 18 13:26:08 GMT 2023","Sat Mar 18 13:26:09 GMT 2023","1144","","TestContent","","TestContent","CheckSecondPageTest","Oldal lapozás tesztelése",""
"passed","Sat Mar 18 13:26:05 GMT 2023","Sat Mar 18 13:26:07 GMT 2023","1380","","TestContent","","TestContent","DeleteProfile","Profil törlése",""
"passed","Sat Mar 18 13:26:10 GMT 2023","Sat Mar 18 13:26:11 GMT 2023","576","","TestPopup","","TestPopup","TermsAndConditionsShowsTest","Adatkezelési tájékoztató megjelenik",""
